Key,Key (manual),I,ii,iii,IV,V,vi*,vii
C,C major,C,Dm,Em,F,G,Am,Bdim
C#,C# major,C#,D#m,E#m,F#,G#,A#m,B#dim
Db,Db major,Db,Ebm,Fm,Gb,Ab,Bbm,Cdim
D,D major,D,Em,F#m,G,A,Bm,C#dim
Eb,Eb major,Eb,Fm,Gm,Ab,Bb,Cm,Ddim
E,E major,E,F#m,G#m,A,B,C#m,D#dim
F,F major,F,Gm,Am,Bb,C,Dm,Edim
F#,F# major,F#,G#m,A#m,B,C#,D#m,E#dim
Gb,Gb major,Gb,Abm,Bbm,Cb,Db,Ebm,Fdim
G,G major,G,Am,Bm,C,D,Em,F#dim
Ab,Ab major,Ab,Bbm,Cm,Db,Ebm,Fm,Gdim
A,A major,A,Bm,C#m,D,E,F#m,G#dim
Bb,Bb major,Bb,Cm,Dm,Eb,F,Gm,Adim
B,B major,B,C#m,D#m,E,F#,G#m,A#dim
Am,A minor,Am,Bdim,C,Dm,Em,F,G
A#m,A# minor,A#m,B#dim,C#,D#m,E#m,F#,G#
Bbm,Bb minor,Bbm,Cdim,Db,Ebm,Fm,Gb,Ab
Bm,B minor,Bm,C#dim,D,Em,F#m,G,A
Cm,C minor,Cm,Ddim,Eb,Fm,Gm,Ab,Bb
C#m,C# minor,C#m,Ddim,E,F#m,G#m,A,B
Dm,D minor,Dm,Edim,F,Gm,Am,Bb,C
D#m,D# minor,D#m,E#dim,F#,G#m,A#m,B,C#
Ebm,Eb minor,Ebm,Fdim,Gb,Abm,Bbm,Cb,Db
Em,E minor,Em,F#dim,G,Am,Bm,C,D
Fm,F minor,Fm,Gdim,Ab,Bbm,Cm,Db,Ebm
F#m,F# minor,F#m,G#dim,A,Bm,C#m,D,E
Gm,G minor,Gm,Adim,Bb,Cm,Dm,Eb,F
G#m,G# minor,G#m,A#dim,B,C#,D#,E,F#